
INSERT INTO `#__wj_portal_cities` ( `name`, `localname`, `internationalname`, `stateid`, `countryid`, `isedit`, `enabled`, `serverid`, `latitude`, `longitude`) VALUES 
("امیدیه", "امیدیه", "Omidieh", NULL, 108, 0, 1, NULL, "30.7590395", "49.7040115"),
("شهرستان میانکوه", "شهرستان میانکوه", "Miankooh City", NULL, 108, 0, 1, NULL, "30.78759365", "49.731383454032"),
("شهر ایلام", "شهر ایلام", "Ilam", NULL, 108, 0, 1, NULL, "33.6379365", "46.4202743"),
("شوشتر", "شوشتر", "Shoushtar", NULL, 108, 0, 1, NULL, "32.0492034", "48.851281"),
("مسجدسلیمان", "مسجدسلیمان", "Masjed Soleyman", NULL, 108, 0, 1, NULL, "31.9461316", "49.3013154"),
("شهر دزفول", "شهر دزفول", "Dezful", NULL, 108, 0, 1, NULL, "32.3780257", "48.4032064"),
("اندیمشک", "اندیمشک", "Andimeshk", NULL, 108, 0, 1, NULL, "32.458325", "48.3521137"),
("شهر خرم‌آباد", "شهر خرم‌آباد", "Khorramabad", NULL, 108, 0, 1, NULL, "33.4842109", "48.3538276"),
("شهر بوشهر", "شهر بوشهر", "Bushehr", NULL, 108, 0, 1, NULL, "28.9310786", "50.8458443"),
("شهر برازجان", "شهر برازجان", "Borazjan", NULL, 108, 0, 1, NULL, "29.2660991", "51.223015159284"),
("دهستان یاسوج", "دهستان یاسوج", "Yasuj", NULL, 108, 0, 1, NULL, "30.6681785", "51.581916"),
("شیراز", "شیراز", "Shiraz", NULL, 108, 0, 1, NULL, "29.6060218", "52.5378041"),
("شهر سیرجان", "شهر سیرجان", "Sirjan", NULL, 108, 0, 1, NULL, "29.4458687", "55.6704717"),
("شهر رفسنجان", "شهر رفسنجان", "Rafsanjan", NULL, 108, 0, 1, NULL, "30.402184", "55.9941776"),
("شهرکرد", "شهرکرد", "Shahr-e Kord", NULL, 108, 0, 1, NULL, "32.3257366", "50.8497369"),
("نجف‌آباد", "نجف‌آباد", "Najaf Abad", NULL, 108, 0, 1, NULL, "32.6350743", "51.3636804"),
("اصفهان", "اصفهان", "Isfahan", NULL, 108, 0, 1, NULL, "32.6707877", "51.6650002"),
("شهر یزد", "شهر یزد", "Yazd", NULL, 108, 0, 1, NULL, "31.8882678", "54.3642391"),
("شهر چابهار", "شهر چابهار", "Chabahar", NULL, 108, 0, 1, NULL, "25.2935488", "60.6469115"),
("شهر بندرعباس", "شهر بندرعباس", "Bandar Abbas", NULL, 108, 0, 1, NULL, "27.1793466", "56.2781423"),
("شهر بم", "شهر بم", "Bam", NULL, 108, 0, 1, NULL, "29.1059864", "58.3565663"),
("شهر کرمان", "شهر کرمان", "Kerman", NULL, 108, 0, 1, NULL, "30.2924085", "57.0645647"),
("شهر زاهدان", "شهر زاهدان", "Zahedan", NULL, 108, 0, 1, NULL, "29.4928874", "60.8503017"),
